bookmaker,canonical_player_id,detail,game_id,line,market,model_version,player_name,readiness,reason,season,side,team,week
betmgm,3676833,prediction probability unavailable,espn-401772510,2.5,rushing_yards,,KaVontae Turpin,,PREDICTION_MISSING,2025,OVER,DAL,1
betmgm,3676833,prediction probability unavailable,espn-401772510,2.5,rushing_yards,,KaVontae Turpin,,PREDICTION_MISSING,2025,UNDER,DAL,1
betrivers,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
bovada,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
fanduel,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
betmgm,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
betonlineag,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
draftkings,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
fanatics,3929630,prediction probability unavailable,espn-401772510,20.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
betrivers,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
bovada,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
fanduel,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betmgm,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betonlineag,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
draftkings,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
fanatics,3929630,prediction probability unavailable,espn-401772510,20.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betrivers,3929630,prediction probability unavailable,espn-401772510,94.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
fanatics,3929630,prediction probability unavailable,espn-401772510,95.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
fanduel,3929630,prediction probability unavailable,espn-401772510,95.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
draftkings,3929630,prediction probability unavailable,espn-401772510,96.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
williamhill_us,3929630,prediction probability unavailable,espn-401772510,97.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
betmgm,3929630,prediction probability unavailable,espn-401772510,98.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
betonlineag,3929630,prediction probability unavailable,espn-401772510,98.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
bovada,3929630,prediction probability unavailable,espn-401772510,98.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
betrivers,3929630,prediction probability unavailable,espn-401772510,94.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
fanatics,3929630,prediction probability unavailable,espn-401772510,95.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
fanduel,3929630,prediction probability unavailable,espn-401772510,95.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
draftkings,3929630,prediction probability unavailable,espn-401772510,96.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
williamhill_us,3929630,prediction probability unavailable,espn-401772510,97.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betmgm,3929630,prediction probability unavailable,espn-401772510,98.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betonlineag,3929630,prediction probability unavailable,espn-401772510,98.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
bovada,3929630,prediction probability unavailable,espn-401772510,98.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
draftkings,4045163,prediction probability unavailable,espn-401772510,16.5,rushing_yards,,Miles Sanders,,PREDICTION_MISSING,2025,OVER,DAL,1
fanduel,4045163,prediction probability unavailable,espn-401772510,17.5,rushing_yards,,Miles Sanders,,PREDICTION_MISSING,2025,OVER,DAL,1
draftkings,4045163,prediction probability unavailable,espn-401772510,16.5,rushing_yards,,Miles Sanders,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanduel,4045163,prediction probability unavailable,espn-401772510,17.5,rushing_yards,,Miles Sanders,,PREDICTION_MISSING,2025,UNDER,DAL,1
betmgm,4241389,prediction probability unavailable,espn-401772510,0.5,rushing_yards,,CeeDee Lamb,,PREDICTION_MISSING,2025,OVER,DAL,1
betmgm,4241389,prediction probability unavailable,espn-401772510,0.5,rushing_yards,,CeeDee Lamb,,PREDICTION_MISSING,2025,UNDER,DAL,1
betmgm,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betonlineag,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betrivers,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
bovada,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
draftkings,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
fanduel,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
williamhill_us,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
fanatics,4361579,prediction probability unavailable,espn-401772510,15.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betmgm,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betonlineag,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betrivers,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
bovada,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
draftkings,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanduel,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
williamhill_us,4361579,prediction probability unavailable,espn-401772510,13.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanatics,4361579,prediction probability unavailable,espn-401772510,15.5,receiving_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betmgm,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betonlineag,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betrivers,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
bovada,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
draftkings,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
fanatics,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
fanduel,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
williamhill_us,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betmgm,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betonlineag,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betrivers,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
bovada,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
draftkings,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanatics,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanduel,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
williamhill_us,4361579,prediction probability unavailable,espn-401772510,2.5,receptions,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betonlineag,4361579,prediction probability unavailable,espn-401772510,10.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betrivers,4361579,prediction probability unavailable,espn-401772510,10.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
bovada,4361579,prediction probability unavailable,espn-401772510,10.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
draftkings,4361579,prediction probability unavailable,espn-401772510,10.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
fanduel,4361579,prediction probability unavailable,espn-401772510,10.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betmgm,4361579,prediction probability unavailable,espn-401772510,11.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
fanatics,4361579,prediction probability unavailable,espn-401772510,11.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betonlineag,4361579,prediction probability unavailable,espn-401772510,10.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betrivers,4361579,prediction probability unavailable,espn-401772510,10.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
bovada,4361579,prediction probability unavailable,espn-401772510,10.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
draftkings,4361579,prediction probability unavailable,espn-401772510,10.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanduel,4361579,prediction probability unavailable,espn-401772510,10.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betmgm,4361579,prediction probability unavailable,espn-401772510,11.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanatics,4361579,prediction probability unavailable,espn-401772510,11.5,rushing_attempts,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
bovada,4361579,prediction probability unavailable,espn-401772510,36.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
fanatics,4361579,prediction probability unavailable,espn-401772510,40.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betmgm,4361579,prediction probability unavailable,espn-401772510,41.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betonlineag,4361579,prediction probability unavailable,espn-401772510,41.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
betrivers,4361579,prediction probability unavailable,espn-401772510,41.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
fanduel,4361579,prediction probability unavailable,espn-401772510,41.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
williamhill_us,4361579,prediction probability unavailable,espn-401772510,41.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
draftkings,4361579,prediction probability unavailable,espn-401772510,43.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,OVER,DAL,1
bovada,4361579,prediction probability unavailable,espn-401772510,36.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanatics,4361579,prediction probability unavailable,espn-401772510,40.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betmgm,4361579,prediction probability unavailable,espn-401772510,41.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betonlineag,4361579,prediction probability unavailable,espn-401772510,41.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betrivers,4361579,prediction probability unavailable,espn-401772510,41.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanduel,4361579,prediction probability unavailable,espn-401772510,41.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
williamhill_us,4361579,prediction probability unavailable,espn-401772510,41.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
draftkings,4361579,prediction probability unavailable,espn-401772510,43.5,rushing_yards,,Javonte Williams,,PREDICTION_MISSING,2025,UNDER,DAL,1
betmgm,4426354,prediction probability unavailable,espn-401772510,55.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
betrivers,4426354,prediction probability unavailable,espn-401772510,55.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
fanatics,4426354,prediction probability unavailable,espn-401772510,55.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
fanduel,4426354,prediction probability unavailable,espn-401772510,55.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
bovada,4426354,prediction probability unavailable,espn-401772510,56.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
williamhill_us,4426354,prediction probability unavailable,espn-401772510,56.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
betonlineag,4426354,prediction probability unavailable,espn-401772510,58.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
draftkings,4426354,prediction probability unavailable,espn-401772510,58.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
betmgm,4426354,prediction probability unavailable,espn-401772510,55.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
betrivers,4426354,prediction probability unavailable,espn-401772510,55.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanatics,4426354,prediction probability unavailable,espn-401772510,55.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanduel,4426354,prediction probability unavailable,espn-401772510,55.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
bovada,4426354,prediction probability unavailable,espn-401772510,56.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
williamhill_us,4426354,prediction probability unavailable,espn-401772510,56.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
betonlineag,4426354,prediction probability unavailable,espn-401772510,58.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
draftkings,4426354,prediction probability unavailable,espn-401772510,58.5,receiving_yards,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
betmgm,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
betonlineag,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
betrivers,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
bovada,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
draftkings,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
fanatics,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
fanduel,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
williamhill_us,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,OVER,DAL,1
betmgm,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
betonlineag,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
betrivers,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
bovada,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
draftkings,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanatics,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
fanduel,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
williamhill_us,4426354,prediction probability unavailable,espn-401772510,4.5,receptions,,George Pickens,,PREDICTION_MISSING,2025,UNDER,DAL,1
draftkings,4431545,"outcome market is missing: game_id=espn-401772510, canonical_player_id=4431545, market=receiving_yards",espn-401772510,8.5,receiving_yards,,Will Shipley,,OUTCOME_MARKET_MISSING,2025,OVER,PHI,1
draftkings,4431545,"outcome market is missing: game_id=espn-401772510, canonical_player_id=4431545, market=receiving_yards",espn-401772510,8.5,receiving_yards,,Will Shipley,,OUTCOME_MARKET_MISSING,2025,UNDER,PHI,1
bovada,4431545,prediction probability unavailable,espn-401772510,2.5,rushing_attempts,,Will Shipley,,PREDICTION_MISSING,2025,OVER,PHI,1
betmgm,4431545,prediction probability unavailable,espn-401772510,3.5,rushing_attempts,,Will Shipley,,PREDICTION_MISSING,2025,OVER,PHI,1
bovada,4431545,prediction probability unavailable,espn-401772510,2.5,rushing_attempts,,Will Shipley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betmgm,4431545,prediction probability unavailable,espn-401772510,3.5,rushing_attempts,,Will Shipley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betmgm,4431545,prediction probability unavailable,espn-401772510,11.5,rushing_yards,,Will Shipley,,PREDICTION_MISSING,2025,OVER,PHI,1
draftkings,4431545,prediction probability unavailable,espn-401772510,12.5,rushing_yards,,Will Shipley,,PREDICTION_MISSING,2025,OVER,PHI,1
fanduel,4431545,prediction probability unavailable,espn-401772510,13.5,rushing_yards,,Will Shipley,,PREDICTION_MISSING,2025,OVER,PHI,1
betmgm,4431545,prediction probability unavailable,espn-401772510,11.5,rushing_yards,,Will Shipley,,PREDICTION_MISSING,2025,UNDER,PHI,1
draftkings,4431545,prediction probability unavailable,espn-401772510,12.5,rushing_yards,,Will Shipley,,PREDICTION_MISSING,2025,UNDER,PHI,1
fanduel,4431545,prediction probability unavailable,espn-401772510,13.5,rushing_yards,,Will Shipley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betmgm,15818,prediction probability unavailable,espn-401772714,37.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
bovada,15818,prediction probability unavailable,espn-401772714,38.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
fanduel,15818,prediction probability unavailable,espn-401772714,39.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
fanatics,15818,prediction probability unavailable,espn-401772714,40.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
williamhill_us,15818,prediction probability unavailable,espn-401772714,40.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
betonlineag,15818,prediction probability unavailable,espn-401772714,41.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
betrivers,15818,prediction probability unavailable,espn-401772714,42.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
draftkings,15818,prediction probability unavailable,espn-401772714,42.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
betmgm,15818,prediction probability unavailable,espn-401772714,37.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
bovada,15818,prediction probability unavailable,espn-401772714,38.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
fanduel,15818,prediction probability unavailable,espn-401772714,39.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
fanatics,15818,prediction probability unavailable,espn-401772714,40.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
williamhill_us,15818,prediction probability unavailable,espn-401772714,40.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
betonlineag,15818,prediction probability unavailable,espn-401772714,41.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
betrivers,15818,prediction probability unavailable,espn-401772714,42.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
draftkings,15818,prediction probability unavailable,espn-401772714,42.5,receiving_yards,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
betmgm,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
betonlineag,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
bovada,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
draftkings,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
fanatics,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
fanduel,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
williamhill_us,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
betrivers,15818,prediction probability unavailable,espn-401772714,4.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,OVER,LAC,1
betmgm,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
betonlineag,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
bovada,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
draftkings,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
fanatics,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
fanduel,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
williamhill_us,15818,prediction probability unavailable,espn-401772714,3.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
betrivers,15818,prediction probability unavailable,espn-401772714,4.5,receptions,,Keenan Allen,,PREDICTION_MISSING,2025,UNDER,LAC,1
betmgm,3915486,prediction probability unavailable,espn-401772714,18.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
betrivers,3915486,prediction probability unavailable,espn-401772714,18.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
fanduel,3915486,prediction probability unavailable,espn-401772714,18.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
betonlineag,3915486,prediction probability unavailable,espn-401772714,19.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
williamhill_us,3915486,prediction probability unavailable,espn-401772714,19.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
draftkings,3915486,prediction probability unavailable,espn-401772714,21.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
betmgm,3915486,prediction probability unavailable,espn-401772714,18.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,UNDER,LAC,1
betrivers,3915486,prediction probability unavailable,espn-401772714,18.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,UNDER,LAC,1
fanduel,3915486,prediction probability unavailable,espn-401772714,18.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,UNDER,LAC,1
betonlineag,3915486,prediction probability unavailable,espn-401772714,19.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,UNDER,LAC,1
williamhill_us,3915486,prediction probability unavailable,espn-401772714,19.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,UNDER,LAC,1
draftkings,3915486,prediction probability unavailable,espn-401772714,21.5,receiving_yards,,Tyler Conklin,,PREDICTION_MISSING,2025,UNDER,LAC,1
betonlineag,3915486,prediction probability unavailable,espn-401772714,1.5,receptions,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
fanduel,3915486,prediction probability unavailable,espn-401772714,1.5,receptions,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
williamhill_us,3915486,prediction probability unavailable,espn-401772714,1.5,receptions,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
betmgm,3915486,prediction probability unavailable,espn-401772714,2.5,receptions,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
draftkings,3915486,prediction probability unavailable,espn-401772714,2.5,receptions,,Tyler Conklin,,PREDICTION_MISSING,2025,OVER,LAC,1
