accepted_quotes,audit_complete,average_american_odds,average_edge,average_market_probability,average_model_probability,evaluation_complete,excluded_unique_opportunities,fatal_integrity,gradeable_quotes,gradeable_unique_opportunities,hit_rate_ci_95,hit_rate_excluding_pushes,losses,market_brier,market_ece,market_log_loss,model_brier,model_ece,model_log_loss,model_minus_market_brier,model_minus_market_ece,model_minus_market_log_loss,opportunities,positive_edge_opportunities,positive_edge_profit,positive_edge_roi,pushes,quotes_with_predictions,reasons,roi,roi_uncertainty,run_action,sample_status,status,unique_opportunities,units_profit,units_returned,units_wagered,week,wins
7656,True,-76.56699346405229,0.006342179823122574,0.49365782017687737,0.5,True,1108,False,4982,1836,"[0.47715306769634624,0.5228469323036538]",0.5,918,0.24819389590362778,0.014424605143330355,0.6895316661351145,0.37995833139441937,0.32409120152505444,1.73166207701468,0.1317644354907916,0.3096665963817241,1.0421304108795655,1836,936,-70.57481540744345,-0.0754004438113712,0,5050,"[{""code"":""NOT_READY_PREDICTION"",""count"":1082,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":2674,""recoverable"":true}]",-0.04898786293732117,"{""clusters"":16,""confidence_interval_95"":[-0.0519595228043508,-0.046059794194666145],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.001543937195365762}",REUSED,OK,PARTIAL,2944,-89.94171635292167,1746.0582836470783,1836,1,918
7132,True,-76.52547770700637,0.006263982471428597,0.4937360175285714,0.5,True,562,False,5916,2198,"[0.4791154523573882,0.5208845476426117]",0.5,1099,0.24766828373845196,0.016648344617908144,0.6884431046529176,0.406719119927454,0.35891094449499544,2.832377149695732,0.15905083618900206,0.3422625998770873,2.1439340450428146,2198,1112,-60.71174197848855,-0.05459689026842495,0,6062,"[{""code"":""NOT_READY_PREDICTION"",""count"":498,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1216,""recoverable"":true}]",-0.04985608001215576,"{""clusters"":16,""confidence_interval_95"":[-0.05559600276400122,-0.043713932782658046],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0029426862678896245}",REUSED,OK,PARTIAL,2760,-109.58366386671835,2088.4163361332817,2198,2,1099
7878,True,-76.40578439964943,0.005917903072066481,0.4940820969279335,0.5,True,650,False,6316,2282,"[0.47950277621534704,0.5204972237846529]",0.5,1141,0.24851341551064532,0.006407120064011262,0.6900849385284035,0.4552240492294102,0.45361362226117435,4.9779632716876066,0.20671063371876486,0.44720650219716307,4.287878333159203,2282,1142,10.719822458214677,0.009386884814548755,0,6514,"[{""code"":""NOT_READY_PREDICTION"",""count"":568,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1562,""recoverable"":true}]",-0.04909822464094902,"{""clusters"":16,""confidence_interval_95"":[-0.053142822220910116,-0.04512957219398131],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.002058099096986608}",REUSED,OK,PARTIAL,2932,-112.04214863064566,2169.9578513693546,2282,3,1141
7896,True,-77.57506152584085,0.0054382225349870255,0.494561777465013,0.5,True,564,False,6562,2438,"[0.48016832649974633,0.5198316735002536]",0.5,1219,0.2474719770533437,0.007211812702873688,0.6880211063883108,0.4634923780727916,0.46350514109926166,4.842526810173056,0.2160204010194479,0.456293328396388,4.1545057037847455,2438,1219,-37.178699227308606,-0.030499343090491064,0,6622,"[{""code"":""NOT_READY_PREDICTION"",""count"":522,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1334,""recoverable"":true}]",-0.05183466949038963,"{""clusters"":16,""confidence_interval_95"":[-0.05619820348299206,-0.04715923695229976],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0023454345420430662}",REUSED,OK,PARTIAL,3002,-126.37292421756992,2311.62707578243,2438,4,1219
7320,True,-75.15520446096654,0.005681405029567479,0.49431859497043246,0.5,True,670,False,5768,2152,"[0.4788938176690247,0.5211061823309753]",0.5,1076,0.24776795841980195,0.036066644371032,0.6886311417576764,0.5584231684670902,0.5645172035315985,5.492257934448329,0.31065521004728824,0.5284505591605665,4.803626792690652,2152,1076,-265.88309561415633,-0.2471032487120412,0,5834,"[{""code"":""NOT_READY_PREDICTION"",""count"":640,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1552,""recoverable"":true}]",-0.049288777812083136,"{""clusters"":14,""confidence_interval_95"":[-0.05630504567926681,-0.0422867521010259],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.003568571022548471}",REUSED,OK,PARTIAL,2822,-106.06944985160291,2045.930550148397,2152,5,1076
7418,True,-76.7488646684832,0.005925152780444157,0.49407484721955586,0.5,True,664,False,5844,2202,"[0.47913439662374996,0.5208656033762501]",0.5,1101,0.2499111663825454,0.021600293204405343,0.6929918272599367,0.43416920897417527,0.42140202815622163,4.233039964279278,0.18425804259162987,0.3998017349518163,3.5400481370193417,2202,1102,1.5484036734389957,0.0014050850031206857,0,5986,"[{""code"":""NOT_READY_PREDICTION"",""count"":598,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1574,""recoverable"":true}]",-0.046488991432314254,"{""clusters"":15,""confidence_interval_95"":[-0.050254709643981585,-0.04284919416943746],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.001933895914631535}",REUSED,OK,PARTIAL,2866,-102.36875913395599,2099.631240866044,2202,6,1101
7222,True,-72.16327519379846,0.006173979031924229,0.49382602096807576,0.5,True,730,False,5532,2064,"[0.4784493945362016,0.5215506054637984]",0.5,1032,0.24857709053825136,0.006823001463486127,0.6902881149207828,0.4370958717446696,0.4214411831395348,4.181850635162483,0.1885187812064182,0.4146181816760487,3.4915625202417004,2064,1032,-14.057095659984897,-0.013621216724791567,0,5704,"[{""code"":""NOT_READY_PREDICTION"",""count"":666,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1690,""recoverable"":true}]",-0.048784462030173024,"{""clusters"":15,""confidence_interval_95"":[-0.05359654134364363,-0.0431838415106066],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0026920907096348867}",REUSED,OK,PARTIAL,2794,-100.69112963027712,1963.3088703697229,2064,7,1032
6382,True,-74.39564732142857,0.005917577067777199,0.49408242293222276,0.5,True,646,False,4894,1792,"[0.47687487448457927,0.5231251255154208]",0.5,896,0.24765991646584276,0.02303762364098732,0.6884205260501014,0.46851170752276,0.4437113917410714,4.395064066372264,0.22085179105691724,0.42067376810008406,3.7066435403221623,1792,896,-80.57805138279713,-0.08993086091830037,0,5096,"[{""code"":""NOT_READY_PREDICTION"",""count"":570,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1488,""recoverable"":true}]",-0.05095785526078237,"{""clusters"":13,""confidence_interval_95"":[-0.05589482755467271,-0.046723810406011076],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0023984587831568953}",REUSED,OK,PARTIAL,2438,-91.316476627322,1700.6835233726779,1792,8,896
7194,True,-75.17828685258964,0.006132427767823461,0.49386757223217653,0.5,True,660,False,5638,2008,"[0.4781515204981312,0.5218484795018687]",0.5,1004,0.24597624519998265,0.03184524168087012,0.6850089398920133,0.45411127254021416,0.44447223605577685,3.9289445800331038,0.2081350273402315,0.41262699437490674,3.2439356401410904,2008,1007,-95.19281076525976,-0.09453109311346551,0,5830,"[{""code"":""NOT_READY_PREDICTION"",""count"":584,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1556,""recoverable"":true}]",-0.052893977819805565,"{""clusters"":14,""confidence_interval_95"":[-0.057396069902354234,-0.04865763020529688],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0021580933693908463}",REUSED,OK,PARTIAL,2668,-106.21110746216958,1901.7888925378304,2008,9,1004
6742,True,-75.50944333996024,0.005983949370490819,0.49401605062950915,0.5,True,584,False,5412,2012,"[0.4781732080455964,0.5218267919544036]",0.5,1006,0.24810542566097313,0.013999931026602228,0.689254601322468,0.39280700353906955,0.37323747117296224,3.0491916264789922,0.14470157787809643,0.35923754014636,2.3599370251565244,2012,1006,16.6495432346844,0.01655024178398052,0,5502,"[{""code"":""NOT_READY_PREDICTION"",""count"":548,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1330,""recoverable"":true}]",-0.049645224910832966,"{""clusters"":14,""confidence_interval_95"":[-0.054785540928179444,-0.04386913151589607],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0027699349240233677}",REUSED,OK,PARTIAL,2596,-99.88619252059593,1912.1138074794042,2012,10,1006
6746,True,-76.4743842364532,0.005524475827912402,0.49447552417208757,0.5,True,574,False,5380,2030,"[0.47827000895350935,0.5217299910464906]",0.5,1015,0.24672897276075492,0.03642367387304637,0.6866171663344791,0.40301928454215175,0.3709747940886699,3.171646885093824,0.15629031178139682,0.33455112021562355,2.485029718759345,2030,1021,15.9693698565885,0.015640910731232614,0,5500,"[{""code"":""NOT_READY_PREDICTION"",""count"":524,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1366,""recoverable"":true}]",-0.05348818203960496,"{""clusters"":15,""confidence_interval_95"":[-0.05884596977811396,-0.04762434918610688],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.002864195590467782}",REUSED,OK,PARTIAL,2604,-108.58100954039807,1921.418990459602,2030,11,1015
7022,True,-75.58726899383984,0.005803523819096398,0.4941964761809036,0.5,True,762,False,5272,1948,"[0.47781824898768105,0.522181751012319]",0.5,974,0.24865320011112932,0.01420485474772313,0.6904829115936628,0.45160896856287885,0.41700570431211503,3.5220935694246855,0.20295576845174954,0.4028008495643919,2.831610657831023,1948,981,-93.63550307339473,-0.09544903473332796,0,5432,"[{""code"":""NOT_READY_PREDICTION"",""count"":688,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1750,""recoverable"":true}]",-0.04871012375615214,"{""clusters"":14,""confidence_interval_95"":[-0.054276849998118805,-0.04163622506945806],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0032130997116841583}",REUSED,OK,PARTIAL,2710,-94.88732107698438,1853.1126789230157,1948,12,974
8292,True,-77.15562080536913,0.005662271772038954,0.494337728227961,0.5,True,804,False,6416,2384,"[0.4799453377980771,0.5200546622019229]",0.5,1192,0.24832186291438846,0.009201690998198238,0.6897838750103269,0.40188078380889936,0.3602021744966444,2.8950012718497353,0.1535589208945109,0.35100048349844615,2.2052173968394087,2384,1196,-16.68731637394275,-0.01395260566383173,0,6478,"[{""code"":""NOT_READY_PREDICTION"",""count"":758,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1876,""recoverable"":true}]",-0.0502630211104513,"{""clusters"":16,""confidence_interval_95"":[-0.055774419239752834,-0.04535726214374049],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0026800921169550843}",REUSED,OK,PARTIAL,3188,-119.8270423273159,2264.172957672684,2384,13,1192
7002,True,-76.38182773109244,0.005755484436994014,0.494244515563006,0.5,True,808,False,5208,1904,"[0.4775639213220207,0.5224360786779794]",0.5,952,0.24297227711487546,0.01692037511526864,0.6788038059609961,0.35953748940140123,0.3217665609243698,2.2686114719316577,0.11656521228652578,0.30484618580910117,1.5898076659706617,1904,962,14.25364457015778,0.01481667834735736,0,5418,"[{""code"":""NOT_READY_PREDICTION"",""count"":704,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1794,""recoverable"":true}]",-0.060844723410909025,"{""clusters"":14,""confidence_interval_95"":[-0.06579074944068117,-0.055760317705049085],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.00255734413172611}",REUSED,OK,PARTIAL,2712,-115.84835337437079,1788.1516466256292,1904,14,952
7606,True,-78.86481647269471,0.005410718730433516,0.4945892812695665,0.5,True,798,False,5818,2234,"[0.479284117567119,0.520715882432881]",0.5,1117,0.24930599715083585,0.017096108343635792,0.6918040693496484,0.41431020538957836,0.3756435461056401,2.516297279972965,0.1650042082387425,0.3585474377620043,1.8244932106233165,2234,1123,-58.956790421130314,-0.052499368139920136,0,6006,"[{""code"":""NOT_READY_PREDICTION"",""count"":718,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1788,""recoverable"":true}]",-0.048595354018048355,"{""clusters"":16,""confidence_interval_95"":[-0.05226055321162274,-0.044789924897752305],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0019105143912866755}",REUSED,OK,PARTIAL,3032,-108.56202087632002,2125.43797912368,2234,15,1117
6796,True,-79.35194672131148,0.004998312866260915,0.4950016871337391,0.5,True,824,False,4890,1952,"[0.477840943162413,0.522159056837587]",0.5,976,0.24586657893928776,0.01269231576143067,0.6847802500660838,0.37885470104519464,0.33891177254098365,2.1105804866489066,0.13298812210590688,0.326219456779553,1.4258002365828228,1952,988,-35.14597583389555,-0.035572850034307234,0,5096,"[{""code"":""NOT_READY_PREDICTION"",""count"":750,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1906,""recoverable"":true}]",-0.056084313367667726,"{""clusters"":16,""confidence_interval_95"":[-0.05983608353239731,-0.052762452397448346],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0017950280191333969}",REUSED,OK,PARTIAL,2776,-109.4765796936874,1842.5234203063126,1952,16,976
6576,True,-80.68913270637408,0.005333643965188855,0.4946663560348111,0.5,True,860,False,4786,1914,"[0.47762249081846375,0.5223775091815362]",0.5,957,0.24832542694051027,0.02788919983431997,0.6896846312086976,0.3788126087775476,0.3339169143155695,2.163460756813311,0.1304871818370373,0.30602771448124955,1.4737761256046134,1914,963,0.12927362827052596,0.00013424052779909237,0,4950,"[{""code"":""NOT_READY_PREDICTION"",""count"":782,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1790,""recoverable"":true}]",-0.05044538115167553,"{""clusters"":16,""confidence_interval_95"":[-0.05553766618453122,-0.04501613619936228],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.002666506232090332}",REUSED,OK,PARTIAL,2774,-96.55245952430697,1817.4475404756931,1914,17,957
3842,True,-84.06774193548387,0.004381016799880279,0.4956189832001197,0.5,True,544,False,2792,1240,"[0.472213388999017,0.527786611000983]",0.5,620,0.24824300568064428,0.02606822260852219,0.6895813995862562,0.3582167454517484,0.32709954193548385,1.86518168920687,0.10997373977110414,0.30103131932696164,1.175600289620614,1240,624,33.19025804474164,0.05318951609734237,0,2852,"[{""code"":""NOT_READY_PREDICTION"",""count"":504,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":1050,""recoverable"":true}]",-0.053692562746451886,"{""clusters"":15,""confidence_interval_95"":[-0.0598630541633521,-0.04918311897987335],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0027961526770131097}",REUSED,OK,PARTIAL,1784,-66.57877780560034,1173.4212221943997,1240,18,620
