average_negative_log_likelihood,average_negative_log_likelihood_rank,brier,brier_rank,composite_rank,count,family,log_loss,market,p05_p95_coverage
1.9209618421069872,1,0.31463494383111756,3,4,484,zero_inflated_negative_binomial,0.9851616467558739,passing_tds,0.878099173553719
1.922139514700598,3,0.31463487884886115,2,5,484,zero_inflated_poisson,0.9860569968002625,passing_tds,0.878099173553719
1.9210956983879557,2,0.31464378051547337,4,6,484,negative_binomial,0.9852731977192055,passing_tds,0.878099173553719
2.6562779013087114,7,0.3118150860141714,1,8,484,normal,1.2607203044910031,passing_tds,0.7252066115702479
1.9229746953792135,4,0.31465602463075865,5,9,484,poisson,0.9867199968890281,passing_tds,0.878099173553719
1.9242769303019425,5,0.3251521503947206,6,11,484,gamma,0.9975684423092988,passing_tds,0.5557851239669421
2.067131035211432,6,0.33854915427140053,7,13,484,lognormal,1.0900307672324918,passing_tds,0.5
17.029574947321297,1,0.44889493249559526,1,2,2267,lognormal,5.990734550658194,passing_yards,0.24084693427437143
17.643968987212062,2,0.4488981898308418,2,4,2267,gamma,6.339397211403907,passing_yards,0.24525805028672254
17.806514315787343,3,0.4489785753068239,3,6,2267,negative_binomial,6.473009764418869,passing_yards,0.250992501102779
17.806514315787343,4,0.4489785753068239,4,8,2267,zero_inflated_negative_binomial,6.473009764418869,passing_yards,0.250992501102779
18.54321650783785,5,0.44945345808063775,5,10,2267,normal,6.877903111533238,passing_yards,0.25011027790030876
22.36853947155334,6,0.4850240076833728,6,12,2267,poisson,8.143512630276435,passing_yards,0.11513012792236436
22.36853947155334,7,0.4850240076833728,7,14,2267,zero_inflated_poisson,8.143512630276435,passing_yards,0.11513012792236436
17.16349484512459,2,0.4637934202673272,1,3,9277,negative_binomial,6.767257639797415,receiving_yards,0.2181739786568934
16.392688775656392,1,0.4655030352265668,3,4,9277,lognormal,5.99478430730326,receiving_yards,0.17322410261938126
17.16349484512459,3,0.4637934202673272,2,5,9277,zero_inflated_negative_binomial,6.767257639797415,receiving_yards,0.2181739786568934
18.204145873469155,4,0.465853628197982,4,8,9277,gamma,7.094173084339052,receiving_yards,0.1746254176996874
19.352190401031645,5,0.46988221602131486,6,11,9277,poisson,7.836042977802191,receiving_yards,0.1776436347957314
20.17622684462441,7,0.4674514754309071,5,12,9277,normal,8.683541481478994,receiving_yards,0.17440983076425567
19.352190401031645,6,0.46988221602131486,7,13,9277,zero_inflated_poisson,7.836042977802191,receiving_yards,0.1776436347957314
2.97947007373386,4,0.34480512110000383,2,6,3507,zero_inflated_negative_binomial,1.2627928107269555,receptions,0.7296834901625321
2.7275951734118737,1,0.35025723831589756,6,7,3507,gamma,1.1687301631713964,receptions,0.6093527231251782
2.9785322338843643,3,0.3448300107480953,4,7,3507,negative_binomial,1.2628494868219589,receptions,0.7296834901625321
4.198422108118234,7,0.3434352317082842,1,8,3507,normal,1.722505352723013,receptions,0.6227544910179641
2.9823977805253947,5,0.34481375227818784,3,8,3507,zero_inflated_poisson,1.2636892477713004,receptions,0.7296834901625321
2.819518421093138,2,0.35951858548082805,7,9,3507,lognormal,1.2172156188198968,receptions,0.5680068434559452
2.985159596297742,6,0.3448596520224463,5,11,3507,poisson,1.2653691599854158,receptions,0.7293983461648132
5.07708143397229,4,0.39393942263931786,1,5,753,zero_inflated_negative_binomial,2.041152200380619,rushing_attempts,0.5564409030544488
5.075300264436342,3,0.39395013454897876,3,6,753,negative_binomial,2.0407025850767115,rushing_attempts,0.5564409030544488
4.173064677302521,2,0.3960402072276283,5,7,753,gamma,1.681070928594937,rushing_attempts,0.4847277556440903
5.080002257966564,5,0.3939464567122841,2,7,753,zero_inflated_poisson,2.0422058059363795,rushing_attempts,0.5564409030544488
3.9526013951913357,1,0.4017371403793167,7,8,753,lognormal,1.5927062496302251,rushing_attempts,0.46879150066401065
5.0841750222997355,6,0.39397583527083724,4,10,753,poisson,2.0441687059202667,rushing_attempts,0.5564409030544488
7.417782452023314,7,0.3966850011189013,6,13,753,normal,2.9726007358924273,rushing_attempts,0.4634794156706507
7.413877561316979,2,0.38493595200186187,4,6,2007,gamma,1.5373889606303652,rushing_yards,0.44294967613353264
7.261972980747024,1,0.39265688814499744,5,6,2007,lognormal,1.4965892578631508,rushing_yards,0.408570004982561
7.486085643886542,3,0.3838918124481067,3,6,2007,negative_binomial,1.5624717292638346,rushing_yards,0.4653712007972098
9.869474025147754,5,0.38020539116960217,1,6,2007,normal,2.6480603016153776,rushing_yards,0.4813153961136024
8.561817348908203,4,0.3823702041258867,2,6,2007,zero_inflated_negative_binomial,1.9033028219986974,rushing_yards,0.4653712007972098
14.451610922580723,6,0.4201854802745383,6,12,2007,zero_inflated_poisson,3.586301360176726,rushing_yards,0.32037867463876435
15.820525844008873,7,0.4321534237191831,7,14,2007,poisson,4.472682485407118,rushing_yards,0.255107125062282
