american_odds,baseline_probability,bookmaker,calibrated_probability_before_pair_normalization,calibration_method,calibration_training_rows,canonical_player_id,decimal_odds,game_id,grade,line,market,model_probability,nested_configuration,nested_threshold,no_vig_market_probability,opponent,outcome,player_name,policy_expected_value,policy_probability,profit_units,push_probability,quote_timestamp,raw_distribution_probability,research_only,residual_adjustment,residual_model_status,residual_probability,season,side,team,v3_probability,week
140.0,0.5421,betmgm,0.75,shrink_50,7676,4575131,2.4,espn-401772631,WIN,0.5,receptions,0.75,residual_half_life_9,0.01,0.39094650205761317,MIA,1.0,Jacory Croskey-Merritt,0.050580431037010265,0.43774184626542095,1.4,0.0,2025-11-16T14:25:42Z,1.0,True,0.04679534420780779,READY_WALK_FORWARD,0.43774184626542095,2025,OVER,WAS,0.5421,11
-186.0,0.851,draftkings,0.5654198569403033,shrink_50,7676,4602667,1.5376344086021505,espn-401772631,WIN,2.5,receptions,0.5654198569403033,residual_half_life_9,0.01,0.6134299307958478,MIA,1.0,Jaylin Lane,0.013049184353591314,0.6588361828313566,0.5376344086021505,0.0,2025-11-16T14:25:42Z,0.6308397138806064,True,0.04540625203550874,READY_WALK_FORWARD,0.6588361828313566,2025,UNDER,WAS,0.851,11
-110.0,0.8992,betmgm,0.5605326752980051,shrink_50,7676,4239993,1.9090909090909092,espn-401772774,WIN,4.5,receptions,0.5605326752980051,residual_half_life_9,0.01,0.49179655455291227,PIT,3.0,Tee Higgins,0.019630871816242457,0.5340923614275556,0.9090909090909091,0.0,2025-11-16T17:55:37Z,0.6210653505960101,True,0.042295806874643294,READY_WALK_FORWARD,0.5340923614275556,2025,UNDER,CIN,0.8992,11
115.0,0.4265,betmgm,0.5630865484880083,isotonic,10218,8439,2.15,espn-401772774,WIN,0.5,rushing_yards,0.5630865484880083,residual_half_life_9,0.01,0.43668122270742354,CIN,8.0,Aaron Rodgers,0.05488442345307443,0.4906439178851509,1.15,0.0,2025-11-16T17:55:37Z,0.8192714987102427,True,0.05396269517772734,READY_WALK_FORWARD,0.4906439178851509,2025,OVER,PIT,0.4265,11
240.0,0.1214,fanatics,0.4852265265922521,isotonic,10218,8439,3.4,espn-401772774,WIN,5.5,rushing_yards,0.4852265265922521,residual_half_life_9,0.01,0.2714285714285714,CIN,8.0,Aaron Rodgers,0.06568346285161997,0.31343631260341764,2.4,0.0,2025-11-16T17:55:37Z,0.47352253149336954,True,0.042007741174846236,READY_WALK_FORWARD,0.31343631260341764,2025,OVER,PIT,0.1214,11
110.0,0.3482,draftkings,0.5520783916129604,shrink_50,7676,4361577,2.1,espn-401772775,LOSS,1.5,receptions,0.5520783916129604,residual_half_life_9,0.01,0.448706013777695,LAC,0.0,Dyami Brown,0.01581526223352203,0.48372155344453427,-1.0,0.0,2025-11-16T17:55:37Z,0.6041567832259206,True,0.03501553966683929,READY_WALK_FORWARD,0.48372155344453427,2025,OVER,JAX,0.3482,11
-118.0,0.9349,betrivers,0.6213032974021848,shrink_50,7676,4612826,1.847457627118644,espn-401772775,WIN,5.5,receptions,0.6213032974021848,residual_half_life_9,0.01,0.5050233081498151,JAX,3.0,Ladd McConkey,0.016460678754287972,0.5501943123532385,0.847457627118644,0.0,2025-11-16T17:55:37Z,0.7426065948043695,True,0.04517100420342335,READY_WALK_FORWARD,0.5501943123532385,2025,UNDER,LAC,0.9349,11
-112.0,0.9943,fanduel,0.5769230769230769,isotonic,10218,4430871,1.8928571428571428,espn-401772776,LOSS,41.5,rushing_yards,0.576923076923077,residual_half_life_9,0.01,0.5,BUF,106.0,Sean Tucker,0.013339007121115132,0.5353489094224759,-1.0,0.0,2025-11-16T17:55:37Z,0.7136147711860835,True,0.03534890942247593,READY_WALK_FORWARD,0.5353489094224759,2025,UNDER,TB,0.9943,11
-108.0,0.9711,betonlineag,0.5769230769230769,isotonic,10218,4426338,1.925925925925926,espn-401772778,WIN,24.5,rushing_yards,0.576923076923077,residual_half_life_9,0.01,0.4876847290640395,KC,8.0,Bo Nix,0.0384270363339404,0.5391832688656998,0.9259259259259259,0.0,2025-11-16T21:20:38Z,0.6956755824912637,True,0.051498539801660304,READY_WALK_FORWARD,0.5391832688656998,2025,UNDER,DEN,0.9711,11
120.0,0.7862,betonlineag,0.5265672919509626,shrink_50,7676,4568490,2.2,espn-401772778,LOSS,2.5,receptions,0.5265672919509626,residual_half_life_9,0.01,0.42723631508678234,KC,3.0,RJ Harvey,0.025735590971788347,0.46624345044172194,-1.0,0.0,2025-11-16T21:20:38Z,0.5531345839019253,True,0.039007135354939604,READY_WALK_FORWARD,0.46624345044172194,2025,UNDER,DEN,0.7862,11
