absolute_edge,american_odds,bookmaker,canonical_player_id,clv,decimal_odds,edge,edge_bucket,edge_direction,game_id,grade,line,market,model_probability,no_vig_market_probability,opportunity_key,outcome,player_name,prediction_cutoff,probability_bucket,profit_units,quote_timestamp,season,selection_policy,side,team,week
0.20490000000000003,-114.0,betonlineag,3046439,,1.8771929824561404,-0.20490000000000003,edge <= 0,NON_POSITIVE,espn-401671628,WIN,28.5,receiving_yards,0.2951,0.5,"[2024,1,""espn-401671628"",""3046439"",""receiving_yards"",""UNDER"",28.5]",18.0,Hunter Henry,2024-09-08T17:00:00Z,20-30%,0.8771929824561403,2024-09-08T16:55:38Z,2024,best_decimal_price_then_book_timestamp,UNDER,NE,1
0.17389082023295593,-117.0,betrivers,3046439,,1.8547008547008548,-0.17389082023295593,edge <= 0,NON_POSITIVE,espn-401671628,WIN,29.5,receiving_yards,0.3312,0.5050908202329559,"[2024,1,""espn-401671628"",""3046439"",""receiving_yards"",""UNDER"",29.5]",18.0,Hunter Henry,2024-09-08T17:00:00Z,30-40%,0.8547008547008547,2024-09-08T16:55:38Z,2024,best_decimal_price_then_book_timestamp,UNDER,NE,1
0.061829689054327286,-162.0,betrivers,3046439,,1.617283950617284,-0.061829689054327286,edge <= 0,NON_POSITIVE,espn-401671628,WIN,34.5,receiving_yards,0.5178,0.5796296890543273,"[2024,1,""espn-401671628"",""3046439"",""receiving_yards"",""UNDER"",34.5]",18.0,Hunter Henry,2024-09-08T17:00:00Z,50-60%,0.6172839506172839,2024-09-08T16:55:38Z,2024,best_decimal_price_then_book_timestamp,UNDER,NE,1
0.026378928227617893,-230.0,betrivers,3046439,,1.434782608695652,0.026378928227617893,2-5%,POSITIVE,espn-401671628,WIN,39.5,receiving_yards,0.6734,0.6470210717723821,"[2024,1,""espn-401671628"",""3046439"",""receiving_yards"",""UNDER"",39.5]",18.0,Hunter Henry,2024-09-08T17:00:00Z,60-70%,0.43478260869565216,2024-09-08T16:55:38Z,2024,best_decimal_price_then_book_timestamp,UNDER,NE,1
0.09978893002591638,-305.0,betrivers,3046439,,1.3278688524590163,0.09978893002591638,5-10%,POSITIVE,espn-401671628,WIN,44.5,receiving_yards,0.7999,0.7001110699740837,"[2024,1,""espn-401671628"",""3046439"",""receiving_yards"",""UNDER"",44.5]",18.0,Hunter Henry,2024-09-08T17:00:00Z,70-80%,0.32786885245901637,2024-09-08T16:55:38Z,2024,best_decimal_price_then_book_timestamp,UNDER,NE,1
0.1342100238663484,-420.0,betrivers,3046439,,1.2380952380952381,0.1342100238663484,>=10%,POSITIVE,espn-401671628,WIN,49.5,receiving_yards,0.886,0.7517899761336516,"[2024,1,""espn-401671628"",""3046439"",""receiving_yards"",""UNDER"",49.5]",18.0,Hunter Henry,2024-09-08T17:00:00Z,80-90%,0.23809523809523808,2024-09-08T16:55:38Z,2024,best_decimal_price_then_book_timestamp,UNDER,NE,1
0.025259872611465006,-145.0,betmgm,3046439,,1.6896551724137931,0.025259872611465006,2-5%,POSITIVE,espn-401671628,LOSS,2.5,receptions,0.5794,0.554140127388535,"[2024,1,""espn-401671628"",""3046439"",""receptions"",""OVER"",2.5]",2.0,Hunter Henry,2024-09-08T17:00:00Z,50-60%,-1.0,2024-09-08T16:55:38Z,2024,best_decimal_price_then_book_timestamp,OVER,NE,1
0.010081546811397557,165.0,betrivers,3046439,,2.65,-0.010081546811397557,edge <= 0,NON_POSITIVE,espn-401671628,LOSS,3.5,receptions,0.3427,0.35278154681139756,"[2024,1,""espn-401671628"",""3046439"",""receptions"",""OVER"",3.5]",2.0,Hunter Henry,2024-09-08T17:00:00Z,30-40%,-1.0,2024-09-08T16:55:38Z,2024,best_decimal_price_then_book_timestamp,OVER,NE,1
0.008410300111152291,128.0,betonlineag,3046439,,2.2800000000000002,0.008410300111152291,0-2%,POSITIVE,espn-401671628,WIN,2.5,receptions,0.4206,0.4121896998888477,"[2024,1,""espn-401671628"",""3046439"",""receptions"",""UNDER"",2.5]",2.0,Hunter Henry,2024-09-08T17:00:00Z,40-50%,1.28,2024-09-08T16:55:38Z,2024,best_decimal_price_then_book_timestamp,UNDER,NE,1
0.010081546811397613,-225.0,betrivers,3046439,,1.4444444444444444,0.010081546811397613,0-2%,POSITIVE,espn-401671628,WIN,3.5,receptions,0.6573,0.6472184531886024,"[2024,1,""espn-401671628"",""3046439"",""receptions"",""UNDER"",3.5]",2.0,Hunter Henry,2024-09-08T17:00:00Z,60-70%,0.4444444444444444,2024-09-08T16:55:38Z,2024,best_decimal_price_then_book_timestamp,UNDER,NE,1
