average_american_odds,average_edge,average_market_probability,average_model_probability,hit_rate_ci_95,hit_rate_excluding_pushes,losses,market,market_brier,market_ece,market_log_loss,model_brier,model_ece,model_log_loss,model_minus_market_brier,model_minus_market_ece,model_minus_market_log_loss,opportunities,pushes,roi,roi_uncertainty,sample_status,units_profit,units_returned,units_wagered,wins
-63.92359249329759,0.009400811762084805,0.4905991882379152,0.5,"[0.4793026069488454,0.5206973930511546]",0.5,1119,passing_tds,0.2082758381539751,0.02218113313922552,0.6044881891515225,0.2708027383199348,0.15185432797140305,0.8732282345359298,0.06252690016595969,0.12967319483217754,0.2687400453844073,2238,0,-0.036941325097735005,"{""clusters"":269,""confidence_interval_95"":[-0.06063972619066294,-0.01328182046702136],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.012170567549035198}",OK,-82.67468556873094,2155.325314431269,2238,1119
-66.29610169491525,0.000745824489989609,0.49925417551001045,0.5,"[0.49098000261787067,0.5090199973821293]",0.5,5900,passing_yards,0.23768400878774096,0.01665566102047359,0.6681320659862741,0.3908420774105552,0.34344856338983054,3.3680391506520078,0.15315806862281425,0.32679290236935693,2.6999070846657336,11800,0,-0.0507672435337804,"{""clusters"":269,""confidence_interval_95"":[-0.05964783356871196,-0.0420491650902578],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0044165752728366715}",OK,-599.0534736986087,11200.946526301392,11800,5900
-65.61854311102431,0.0018806113986077559,0.4981193886013922,0.5,"[0.49515831473857164,0.5048416852614284]",0.5,20482,receiving_yards,0.23369027393861272,0.004233915437839578,0.6595448112164503,0.3479610981990731,0.2848391409530319,2.010208931934495,0.1142708242604604,0.28060522551519235,1.3506641207180445,40964,0,-0.059831831726199596,"{""clusters"":272,""confidence_interval_95"":[-0.06494440370472862,-0.05513536724521986],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.002546077699950687}",OK,-2450.95115483204,38513.04884516796,40964,20482
-31.3041423846275,0.008287472067943969,0.491712527932056,0.5,"[0.49130469637305235,0.5086953036269476]",0.5,6349,receptions,0.2251732404627509,0.01224437156304325,0.6419028908032725,0.303811101171856,0.19677849834619626,1.1007055231867249,0.07863786070910511,0.184534126783153,0.4588026323834524,12698,0,-0.051623503393548126,"{""clusters"":272,""confidence_interval_95"":[-0.05841140376863789,-0.044395453606114764],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0035991441862446576}",OK,-655.5152460912741,12042.484753908726,12698,6349
-30.860975609756096,0.010143358317861308,0.4898566416821387,0.5,"[0.47210101420081624,0.5278989857991837]",0.5,615,rushing_attempts,0.2434365743100224,0.023630518251685186,0.6798883303216944,0.3633744020976732,0.2787467170731707,1.893434385790504,0.11993782778765077,0.25511619882148556,1.2135460554688096,1230,0,-0.05160088063766643,"{""clusters"":262,""confidence_interval_95"":[-0.058651714462675204,-0.044594574104953544],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0035118919909040394}",OK,-63.469083184329705,1166.5309168156703,1230,615
-72.46873938158342,0.0029212531945445124,0.49707874680545544,0.5,"[0.4872307234436909,0.5127692765563091]",0.5,2943,rushing_yards,0.23566169662487382,0.01673405074613628,0.6634278742125341,0.3368401084065046,0.2800328430173292,1.8069068466148814,0.10117841178163076,0.26329879227119296,1.1434789724023473,5886,0,-0.05938360447118585,"{""clusters"":265,""confidence_interval_95"":[-0.06959565724182873,-0.04828537033603594],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.005402089808687629}",OK,-349.5318959173999,5536.4681040826,5886,2943
