average_interval_width,average_probability,average_stability_score,brier_score,calibration_error,empirical_hit_rate,forecasts,hit_rate_ci_95,lower,upper
,,,,,,0,,0.0,0.05
,,,,,,0,,0.05,0.1
,,,,,,0,,0.1,0.15000000000000002
,,,,,,0,,0.15000000000000002,0.2
,,,,,,0,,0.2,0.25
,,,,,,0,,0.25,0.3
,,,,,,0,,0.30000000000000004,0.35000000000000003
,,,,,,0,,0.35000000000000003,0.4
,,,,,,0,,0.4,0.45
,,,,,,0,,0.45,0.5
58.4834488184219,0.5248294598897886,52.06445506589311,0.25011355403737867,-0.012177780837959062,0.5126516790518295,10631,"[0.5031473288063744, 0.522146889357723]",0.5,0.55
58.25549118640698,0.5743992239389949,51.96294922001603,0.25256463996596906,-0.05464177067977305,0.5197574532592218,9895,"[0.5099077098673367, 0.5295918620397967]",0.55,0.6000000000000001
55.99757150751929,0.6241560299831184,52.18220385249548,0.25344036772967055,-0.07638232028664971,0.5477737096964687,8467,"[0.5371530611761185, 0.5583510282266632]",0.6000000000000001,0.6500000000000001
55.31177933731653,0.6733331339150023,52.66348783657268,0.2549418773570629,-0.10188079653353499,0.5714523373814673,6011,"[0.5589004143427061, 0.5839129924413224]",0.65,0.7000000000000001
55.3764891835144,0.723228329608731,52.34320297074877,0.25108590639922146,-0.11449022855918256,0.6087381010495484,4097,"[0.5936989882981942, 0.6235734932027683]",0.7000000000000001,0.7500000000000001
56.16451434423402,0.7720057934206965,52.15307573476299,0.2689263167977503,-0.17055651805837768,0.6014492753623188,4692,"[0.5873626644792486, 0.6153699039748585]",0.75,0.8
48.89006020359756,0.8219351996766002,53.28168203290589,0.2513801019702631,-0.16296084070224126,0.658974358974359,2340,"[0.6395204129568762, 0.6779072002462557]",0.8,0.8500000000000001
47.61862513662327,0.8720283601104032,54.234757374494286,0.2721201655924557,-0.21488550296754605,0.6571428571428571,1155,"[0.6292880514147262, 0.6839558330156862]",0.8500000000000001,0.9000000000000001
47.05984444146598,0.9231241589263063,58.16741291653195,0.34659146881776315,-0.3245947471616004,0.5985294117647059,680,"[0.5612316857393775, 0.6347201657776205]",0.9,0.9500000000000001
41.61534421671215,0.9857238962388719,56.12695128483547,0.337665199018586,-0.33338974390471954,0.6523341523341524,814,"[0.6189723301230522, 0.6842649261021453]",0.9500000000000001,1.0
