count,extreme_mean,extreme_minus_non_extreme,feature,feature_class,non_extreme_mean,pearson,rank,scope,spearman,target
918,-7.3061533335430004,-6.99422539795206,standardized_mean_line_gap,distribution_geometry,-0.3119279355909408,-0.3420697434988189,1,ALL,-0.807482587650581,probability_extremeness
918,-27.384436822149393,-26.41984162086943,mean_minus_line,distribution_geometry,-0.9645952012799618,-0.39875811429148855,2,ALL,-0.7246617797643123,probability_extremeness
918,9514.086505190311,3168.2105115496115,unique_values,distribution_geometry,6345.8759936407,0.47774037169924405,3,ALL,0.46882916543970765,probability_extremeness
918,62.26470588235294,15.518282988871228,line,distribution_geometry,46.746422893481714,0.17852948057704585,4,ALL,0.44071405725181706,probability_extremeness
918,0.02288235294117647,-0.02285087440381558,zero_mass,distribution_geometry,0.04573322734499205,-0.09278216380001887,5,ALL,-0.4381031103205111,probability_extremeness
918,12.46712802768166,-3.0114093332086416,player_history_games,history_depth,15.478537360890302,-0.38711560921836013,6,ALL,-0.39417992236342075,probability_extremeness
918,0.29159903827628325,-0.0594640082159566,relative_dispersion,distribution_geometry,0.35106304649223985,-0.24267677360984757,7,ALL,-0.37381850903665964,probability_extremeness
918,34.12717013956288,-10.829322813147705,simulated_median,distribution_geometry,44.95649295271058,0.032868582845280304,8,ALL,0.18969392471550398,probability_extremeness
918,34.880269060203545,-10.901558631998213,simulated_mean,distribution_geometry,45.78182769220176,0.03441647437907,9,ALL,0.18946144441976173,probability_extremeness
918,61.882666739267215,-12.429977503717147,support_width,distribution_geometry,74.31264424298436,0.09479079516959538,10,ALL,0.1405529045163944,probability_extremeness
918,7.655820565921538,-1.6454111583100444,simulated_stddev,distribution_geometry,9.301231724231583,0.0838425228601126,11,ALL,0.1214362414223847,probability_extremeness
918,549.5363321799308,-0.8897409520246811,league_team_history_rows,history_depth,550.4260731319555,-0.008980475753296304,12,ALL,-0.021136452693938376,probability_extremeness
918,34.0,0.0,team_history_rows,history_depth,34.0,,13,ALL,,probability_extremeness
918,-27.384436822149393,-26.41984162086943,mean_minus_line,distribution_geometry,-0.9645952012799618,-0.052022581875532464,1,ALL,0.07470190651417027,brier_error
918,0.02288235294117647,-0.02285087440381558,zero_mass,distribution_geometry,0.04573322734499205,0.014933387734433584,2,ALL,0.07147563181010122,brier_error
918,9514.086505190311,3168.2105115496115,unique_values,distribution_geometry,6345.8759936407,0.0985995850325526,3,ALL,-0.0581858786353189,brier_error
918,62.26470588235294,15.518282988871228,line,distribution_geometry,46.746422893481714,0.03273315446575257,4,ALL,-0.051338302643707215,brier_error
918,-7.3061533335430004,-6.99422539795206,standardized_mean_line_gap,distribution_geometry,-0.3119279355909408,-0.07321902738273164,5,ALL,0.037517059877916044,brier_error
918,549.5363321799308,-0.8897409520246811,league_team_history_rows,history_depth,550.4260731319555,0.011477587612840245,6,ALL,0.03301553873323403,brier_error
918,61.882666739267215,-12.429977503717147,support_width,distribution_geometry,74.31264424298436,-0.0024879692904318865,7,ALL,-0.03020060997323815,brier_error
918,0.29159903827628325,-0.0594640082159566,relative_dispersion,distribution_geometry,0.35106304649223985,-0.006778490584829937,8,ALL,0.023369251520717445,brier_error
918,34.12717013956288,-10.829322813147705,simulated_median,distribution_geometry,44.95649295271058,0.013925700545933622,9,ALL,-0.0215127384667718,brier_error
918,34.880269060203545,-10.901558631998213,simulated_mean,distribution_geometry,45.78182769220176,0.013774653138603928,10,ALL,-0.0206603630222659,brier_error
918,7.655820565921538,-1.6454111583100444,simulated_stddev,distribution_geometry,9.301231724231583,0.008136210921946763,11,ALL,-0.015242361088738391,brier_error
918,12.46712802768166,-3.0114093332086416,player_history_games,history_depth,15.478537360890302,-0.13187194907648844,12,ALL,0.003694832641124501,brier_error
918,34.0,0.0,team_history_rows,history_depth,34.0,,13,ALL,,brier_error
