average_interval_width,average_probability,average_stability_score,brier_score,calibration_error,empirical_hit_rate,forecasts,hit_rate_ci_95,lower,upper
,,,,,,0,,0.0,0.05
,,,,,,0,,0.05,0.1
,,,,,,0,,0.1,0.15000000000000002
,,,,,,0,,0.15000000000000002,0.2
,,,,,,0,,0.2,0.25
,,,,,,0,,0.25,0.3
,,,,,,0,,0.30000000000000004,0.35000000000000003
,,,,,,0,,0.35000000000000003,0.4
,,,,,,0,,0.4,0.45
,,,,,,0,,0.45,0.5
65.1931638605151,0.524938419309999,56.18312263798743,0.2500003181960916,-0.011582620838724189,0.5133557984712748,12167,"[0.5044717898455571, 0.5222313761680353]",0.5,0.55
63.98642813954174,0.5745854213938234,56.114741570917985,0.25126384492327397,-0.04528139208979409,0.5293040293040293,11466,"[0.5201595530127264, 0.5384288766889945]",0.55,0.6000000000000001
61.57942910048457,0.6239970280985458,56.347368772169354,0.2543141978452466,-0.08040887169701894,0.5435881564015269,9693,"[0.5336569313164325, 0.5534848460951545]",0.6000000000000001,0.6500000000000001
60.08016650117095,0.6732199005613168,56.293382844556696,0.25406332194002496,-0.09884985016534842,0.5743700503959683,6945,"[0.5627035723829336, 0.5859543019003738]",0.65,0.7000000000000001
60.730453942869026,0.7234136236839125,56.73796105428108,0.25069529816092156,-0.11325155622880956,0.6101620674551029,4566,"[0.595928745180841, 0.6242101828465683]",0.7000000000000001,0.7500000000000001
63.90360185853005,0.7719698846446725,57.224774226913055,0.2609042448517751,-0.15627571965473286,0.6156941649899397,4970,"[0.6020861826495348, 0.6291234386303254]",0.75,0.8
55.66280499674368,0.8223129751472202,57.48644926504853,0.2656576166187507,-0.18588090890709985,0.6364320662401204,2657,"[0.6179569329730625, 0.6545132653533441]",0.8,0.8500000000000001
54.15849711692969,0.87277388806079,58.7055108068639,0.2709009366092059,-0.2137763531388508,0.6589975349219392,1217,"[0.6319012607638594, 0.6850932164501053]",0.8500000000000001,0.9000000000000001
54.494998741638895,0.9238570347991442,62.15253975164517,0.28165362647505904,-0.24810380667862764,0.6757532281205165,697,"[0.6401211667285696, 0.7094586090059618]",0.9,0.9500000000000001
51.45286382404048,0.9847115985690774,60.89906612312365,0.2722862026858428,-0.2665410176049241,0.7181705809641533,809,"[0.6861943116615011, 0.7480847179934919]",0.9500000000000001,1.0
